0.00205667,-0.0117122,-0.00947598 0.997566,-0.0683708,-0.000937618,-0.0136803

0.00205503,-0.0117114,-0.00947437 0.997567,-0.0683692,-0.000921266,-0.0136115

0.00205564,-0.0117121,-0.00947602 0.997564,-0.0684028,-0.000899173,-0.0136794

0.00205269,-0.0117147,-0.00947772 0.997566,-0.0683754,-0.000945798,-0.0136491

0.00205714,-0.0117179,-0.00947937 0.997568,-0.0683514,-0.00100667,-0.013632

0.00206444,-0.0117186,-0.00947985 0.997566,-0.0683827,-0.00102416,-0.0136348

0.00206152,-0.0117184,-0.0094804 0.997563,-0.0684186,-0.000986689,-0.01365

0.00205602,-0.0117206,-0.00948341 0.997562,-0.0684205,-0.00100951,-0.0136837

0.00205954,-0.011722,-0.00948285 0.997563,-0.0684178,-0.000995497,-0.0136431

0.00206319,-0.0117215,-0.00948119 0.997563,-0.0684206,-0.000975805,-0.013605

0.0020623,-0.011724,-0.00948431 0.997561,-0.0684514,-0.00101394,-0.0136173

0.00206025,-0.0117207,-0.00948172 0.997564,-0.0684022,-0.00100865,-0.0136333

0.00206463,-0.011721,-0.00948038 0.997566,-0.0683805,-0.000999976,-0.0136115

0.00206111,-0.0117161,-0.00947744 0.997567,-0.0683712,-0.00100088,-0.0135872

0.00206216,-0.0117189,-0.00948093 0.997564,-0.0684096,-0.00104531,-0.0136113

0.00205568,-0.0117117,-0.00948013 0.997563,-0.0684084,-0.00115921,-0.0136459

0.00206645,-0.0117195,-0.00948129 0.997565,-0.0684011,-0.00109099,-0.0136054

0.00207269,-0.0117199,-0.00948101 0.997564,-0.0684046,-0.00105576,-0.013661

0.00207432,-0.011722,-0.00948259 0.997562,-0.0684299,-0.00105786,-0.0136619

0.00207584,-0.0117177,-0.00947963 0.997564,-0.0684083,-0.00108782,-0.0136402

0.00207622,-0.0117187,-0.00947932 0.997566,-0.0683738,-0.00107851,-0.0136422

0.00207624,-0.0117149,-0.00947791 0.997562,-0.0684188,-0.00104235,-0.0136783

0.00207377,-0.0117167,-0.00948014 0.997562,-0.0684235,-0.00105571,-0.013712

0.00208042,-0.0117219,-0.00948088 0.997567,-0.0683429,-0.00104176,-0.0137447

0.00208094,-0.0117156,-0.00947665 0.997567,-0.068349,-0.0010799,-0.013658

0.00207785,-0.0117117,-0.00947569 0.997564,-0.0683895,-0.00104313,-0.0137064

0.00207251,-0.0117102,-0.00947347 0.997568,-0.0683359,-0.00103078,-0.0136628

0.00206678,-0.0117087,-0.00947389 0.997563,-0.0684027,-0.00094907,-0.0137053

0.00206405,-0.0117141,-0.00947626 0.997568,-0.0683443,-0.000991003,-0.0136608

0.00206566,-0.0117093,-0.00947447 0.997565,-0.0683821,-0.00101398,-0.0136619

0.00206325,-0.0117105,-0.00947471 0.997569,-0.0683292,-0.00103504,-0.0136576

0.0020643,-0.0117063,-0.00947252 0.997565,-0.0683836,-0.000999878,-0.0136532

0.00205621,-0.011703,-0.00947086 0.997567,-0.0683472,-0.000979299,-0.0136784

0.00206054,-0.011705,-0.00947118 0.997568,-0.068348,-0.000976837,-0.0136576

0.00206058,-0.0117051,-0.00947075 0.997568,-0.0683352,-0.000966224,-0.0136601

0.00205551,-0.0117077,-0.00947229 0.997568,-0.0683415,-0.000921588,-0.0136609

0.00204938,-0.0117047,-0.00947124 0.99757,-0.0683148,-0.000925931,-0.0136879

0.00205366,-0.0116988,-0.00946652 0.997571,-0.0683014,-0.0009546,-0.0136238

0.00205702,-0.0117024,-0.00946859 0.997572,-0.0682881,-0.000972985,-0.0136462

0.00205022,-0.0117019,-0.00946912 0.997569,-0.0683226,-0.000917306,-0.0136627

0.00205281,-0.0117002,-0.00946735 0.99757,-0.068319,-0.000914699,-0.0136402

0.00204404,-0.0116947,-0.00946651 0.997571,-0.0683062,-0.00100353,-0.0136357

0.00204886,-0.0116968,-0.00946532 0.997573,-0.0682835,-0.000942601,-0.0136206

0.00204914,-0.0116927,-0.00946453 0.997568,-0.0683341,-0.000939716,-0.0136633

0.00204699,-0.0116969,-0.00946637 0.997573,-0.0682679,-0.000960536,-0.0136703

0.00205615,-0.0116944,-0.00946362 0.997572,-0.0682872,-0.000962218,-0.0136338

0.00205052,-0.0116949,-0.00946443 0.997573,-0.068271,-0.000981291,-0.0136211

